Canton	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022p
Zurich	.	-1.9	2.4	1.4	1.3	1.1	2.0	0.1	1.1	1.7	5.5	-1.0	-3.9	2.5	7.6
Berne	.	-1.5	3.3	1.7	0.4	1.7	1.8	-0.2	-0.2	0.7	2.4	2.0	-2.2	5.6	5.0
Lucerne	.	-2.1	6.7	1.7	1.1	2.9	2.0	1.3	1.8	1.7	2.0	1.8	-0.9	7.4	6.0
Uri	.	0.2	0.5	4.1	1.5	3.6	0.5	0.6	0.6	1.9	1.6	1.9	-1.0	5.4	3.9
Schwyz	.	1.0	1.7	-0.1	1.3	2.9	1.4	2.6	0.7	2.2	2.2	2.4	0.7	8.6	6.8
Obwalden	.	-0.9	6.3	1.5	0.6	-0.8	0.4	1.5	2.3	0.8	1.0	4.4	-1.9	6.1	5.6
Nidwalden	.	-0.7	8.3	2.0	2.2	5.1	2.8	7.2	-3.6	-1.2	1.3	-1.3	-5.3	9.8	5.1
Glarus	.	-2.9	2.4	2.5	0.9	4.1	1.4	0.6	-0.6	4.0	-1.4	3.6	-4.1	7.7	4.3
Zug	.	-0.9	10.0	0.8	2.0	5.1	-3.3	5.2	1.7	-2.4	3.0	3.2	0.1	11.4	11.2
Fribourg	.	-2.5	3.3	2.4	0.9	4.9	2.8	0.7	0.2	1.8	2.4	2.1	-2.9	7.4	5.7
Solothurn	.	-3.8	3.2	1.7	0.6	1.7	1.6	0.5	0.0	1.3	2.7	1.4	-2.6	7.3	6.7
Basel-Stadt	.	-1.4	1.2	2.6	-0.6	1.2	2.8	2.1	7.4	4.7	3.3	0.5	-1.6	6.2	2.9
Basel-Landschaft	.	-1.9	3.5	1.7	-1.0	1.5	3.2	1.9	0.5	1.4	0.4	0.0	-1.7	5.6	5.5
Schaffhausen	.	-2.5	8.3	1.7	1.7	2.1	-1.0	-0.7	1.0	1.3	3.7	1.7	-0.7	14.6	2.9
Appenzell A. Rh.	.	-3.6	4.5	1.8	0.2	3.5	1.5	0.9	0.6	-1.1	2.8	1.7	4.9	5.4	4.2
Appenzell I. Rh.	.	-2.0	8.0	2.4	0.8	3.6	4.2	0.7	1.7	-0.6	3.1	1.2	-0.4	11.0	6.9
St. Gallen	.	-3.0	4.1	2.2	-1.7	2.7	1.6	-0.6	1.2	0.9	1.7	2.3	-0.9	9.2	5.8
Graubünden	.	0.1	3.0	2.3	1.4	2.7	0.7	-0.8	0.6	0.2	2.6	3.0	-2.1	6.3	7.6
Aargau	.	-2.4	1.7	2.3	0.3	2.3	1.5	-0.6	1.3	1.5	2.2	1.9	-0.9	1.9	5.8
Thurgau	.	-2.9	5.4	3.2	1.6	2.5	1.5	-0.8	2.2	0.8	2.7	2.2	1.2	10.1	5.0
Ticino	.	-2.1	2.9	2.0	1.1	3.6	2.0	-0.1	-0.2	-0.9	4.2	1.5	-6.4	15.0	8.1
Vaud	.	-0.1	5.8	1.6	6.3	-2.4	3.1	-0.6	6.4	-3.2	5.8	0.4	-3.7	11.7	2.3
Valais	.	2.3	2.8	1.3	0.6	1.0	0.8	3.1	0.6	1.3	4.2	2.6	-4.0	6.8	7.3
Neuchâtel	.	-6.4	2.7	8.0	3.3	1.9	1.9	1.8	-1.9	2.5	4.2	1.2	-6.6	15.5	5.8
Geneva	.	-2.3	4.1	0.3	1.8	1.6	0.2	-0.5	0.6	2.1	4.8	1.3	-4.7	8.1	8.9
Jura	.	-6.3	2.8	3.6	1.7	4.7	3.1	-1.8	-0.2	2.5	4.8	2.0	-9.3	15.7	8.3
Switzerland	.	-1.9	3.6	1.8	1.2	1.7	1.7	0.4	1.5	1.0	3.6	1.0	-2.8	7.0	6.2